"HTS Number","Indent","Description","Unit of Quantity","General Rate of Duty","Special Rate of Duty","Column 2 Rate of Duty","Quota Quantity","Additional Duties"
"9603.40.40.20","3","Paint pads","[""No.""]","","","","",""
"9603.40.40.40","3","Natural bristle brushes","[""No.""]","","","","",""
"9603.40.40.60","3","Other","[""No.""]","","","","",""
"9603.50.00.00","1","Other brushes constituting parts of machines, appliances or vehicles","[""No.""]","Free","","35%","",""
"9603.90","1","Other:","","","","","",""
"9603.90.40.00","2","Feather dusters","[""No.""]","Free","","45%","",""
"9603.90.80","2","Other","","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"9603.90.80.10","3","Whiskbrooms","[""No.""]","","","","",""
"9603.90.80.20","3","Upright brooms","[""No.""]","","","","",""
"9603.90.80.30","3","Push brooms, 41 cm or less in width","[""No.""]","","","","",""
"9603.90.80.40","3","Other brooms","[""No.""]","","","","",""
"9603.90.80.50","3","Other","[""No.""]","","","","",""
"9604.00.00.00","0","Hand sieves and hand riddles","[""No.""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9605.00.00.00","0","Travel sets for personal toilet, sewing or shoe or clothes cleaning (other than manicure and pedicure sets of heading 8214)","[""No.""]","8.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606","0","Buttons, press-fasteners, snap-fasteners and press-studs, button molds and other parts of these articles; button blanks:","","","","","",""
"9606.10","1","Press-fasteners, snap-fasteners and press-studs and parts thereof:","","","","","",""
"9606.10.40.00","2","Valued not over 20¢ per dozen pieces or parts","[""gross""]","3.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"9606.10.80.00","2","Valued over 20¢ per dozen pieces or parts","[""gross""]","2.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","1","Buttons:","","","","",,
"9606.21","2","Of plastics, not covered with textile material:","","","","","",""
"9606.21.20.00","3","Of casein","[""gross""]","Free","","45%","",""
"9606.21.40.00","3","Of acrylic resin, of polyester resin or of both such resins","[""gross"",""gr.lines""]","0.3¢/line/ gross + 4.6%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.5¢/line/ gross + 25%","",""
"9606.21.60.00","3","Other","[""gross""]","4.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606.22.00.00","2","Of base metal, not covered with textile material","[""gross""]","Free","","45%","",""
"9606.29","2","Other:","","","","","",""
"9606.29.20.00","3","Of acrylic resin, of polyester resin or of both such resins, covered with textile material","[""gross"",""gr.lines""]","0.3¢/line/ gross + 4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.5¢/line/ gross + 25%","",""
"","3","Other:","","","","",,
"9606.29.40.00","4","Of pearl or shell","[""gross"",""gr.lines""]","0.18¢/line/ gross + 2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.75¢/line/ gross + 25%","",""
"9606.29.60.00","4","Other","[""gross""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606.30","1","Button molds and other parts of buttons; button blanks:","","","","","",""
"9606.30.40.00","2","Button blanks of casein","[""gross""]","Free","","45%","",""
"9606.30.80.00","2","Other","[""gross""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9607","0","Slide fasteners and parts thereof:","","","","","",""
"","1","Slide fasteners:","","","","",,
"9607.11.00.00","2","Fitted with chain scoops of base metal","[""No.""]","10%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.19.00","2","Other","","13%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.19.00.20","3","Fitted with chain scoops of plastic","[""No.""]","","","","",""
"9607.19.00.40","3","Fitted with continuous plastic filament","[""No.""]","","","","",""
"9607.19.00.60","3","Other","[""No.""]","","","","",""
"9607.20.00","1","Parts","","11.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.20.00.40","2","Sliders, with or without pulls","[""thousand""]","","","","",""
"9607.20.00.80","2","Other","[""No.""]","","","","",""
"9608","0","Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating styli; propelling or sliding pencils (for example, mechanical pencils); pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 9609:","","","","","",""
"9608.10.00.00","1","Ball point pens","[""No.""]","0.8¢ each + 5.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"9608.20.00.00","1","Felt tipped and other porous-tipped pens and markers","[""gross""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9608.30.00","1","Fountain pens, stylograph pens and other pens","","0.4¢ each + 2.7%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","6¢ each + 40%","",""
"9608.30.00.31","2","India ink drawing pens","[""No.""]","","","","",""
"9608.30.00.39","2","Other","[""No.""]","","","","",""
"9608.40","1","Propelling or sliding pencils (for example, mechanical pencils):","","","","","",""
"9608.40.40.00","2","With a mechanical action for extending, or for extending and retracting, the lead","[""gross""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.3% (JP)","41.5%","",""
"9608.40.80.00","2","Other","[""gross""]","Free","","45%","",""
"9608.50.00.00","1","Sets of articles from two or more of the subheadings 9608.10, 9608.20, 9608.30 or 9608.40","[""No.""]","The rate applicable to each article in the absence of this subheading","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","The rate applicable, to each article in the absence of this subheading","",""
"9608.60.00.00","1","Refills for ball point pens, comprising the ball point and ink reservoir","[""No.""]","0.4¢ each + 2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"","1","Other:","","","","",,
"9608.91.00.00","2","Pen nibs and nib points","[""gross""]","Free","","20¢/gross","",""
"9608.99","2","Other:","","","","","",""
"9608.99.20.00","3","Refill cartridges","[""No.""]","0.4¢ each + 2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"9608.99.30.00","3","Balls for ball point pens","[""thousand""]","20¢/thousand + 3.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2.50/thou- sand + 40%","",""
"","3","Other:","","","","",,
"9608.99.40.00","4","Parts of articles provided for in subheadings 9608.10 and 9608.30 (other than balls for ball point pens)","[""No.""]","Free","","6¢ each + 40%","",""
"9608.99.60.00","4","Other","[""No.""]","Free","","45%","",""
"9609","0","Pencils (other than those pencils of heading 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks:","","","","","",""
"9609.10.00.00","1","Pencils and crayons, with leads encased in a rigid sheath","[""gross""]","14¢/gross + 4.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50¢/gross + 30%","",""
"9609.20","1","Pencil leads, black or colored:","","","","","",""
"9609.20.20.00","2","Not over 1.5 mm in maximum cross-sectional dimension","[""gross""]","Free","","20¢/gross","",""
"9609.20.40.00","2","Over 1.5 mm in maximum cross-sectional dimension","[""gross""]","Free","","6¢/gross","",""
"9609.90","1","Other:","","","","","",""
"9609.90.40.00","2","Tailors' chalks","[""kg""]","Free","","25%","",""
"9609.90.80.00","2","Other","[""gross""]","Free","","50¢/gross + 30%","",""
"9610.00.00.00","0","Slates and boards, with writing or drawing surfaces, whether or not framed","[""No.""]","3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"9611.00.00.00","0","Date, sealing or numbering stamps and the like, (including devices for printing or embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing sticks","[""No.""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"9612","0","Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges; ink pads, whether or not inked, with or without boxes:","","","","","",""
"9612.10","1","Ribbons:","","","","","",""
"9612.10.10","2","Measuring less than 30 mm in width, permanently put up in plastic or metal cartridges (whether or not containing spools) of a kind used in typewriters, automatic data processing or other machines","","Free","","78.5%","",""
"9612.10.10.10","3","Woven, of man-made fibers","[""doz."",""kg""]","","","","",""
"9612.10.10.20","3","Other","[""doz."",""kg""]","","","","",""
"9612.10.90","2","Other","","7.9%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.95% (JP)","78.5%","",""
"9612.10.90.10","3","Woven, of man-made fibers (621)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","3","Other:","","","","",,
"9612.10.90.30","4","Thermal transfer printing ribbons of coated polyethylene terephthalate film","[""doz."",""kg""]","","","","",""
"9612.10.90.90","4","Other","[""doz."",""kg""]","","","","",""
"9612.20.00.00","1","Ink pads","[""No.""]","3.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","40%","",""
"9613","0","Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks:","","","","","",""
"9613.10.00.00","1","Pocket lighters, gas fueled, non-refillable","[""No.""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9613.20.00.00","1","Pocket lighters, gas fueled, refillable","[""No.""]","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9613.80","1","Other lighters:","","","","","",""
"9613.80.10","2","Table lighters","","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"9613.80.10.40","3","Butane","[""No.""]","","","","",""
"9613.80.10.80","3","Other","[""No.""]","","","","",""
"","2","Other:","","","","",,
"9613.80.20","3","Electrical","","3.9%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"9613.80.20.10","4","Multipurpose lighters, including those used to light charcoal and gas grills and fireplaces","[""No.""]","","","","",""
"9613.80.20.90","4","Other","[""No.""]","","","","",""
"","3","Other:","","","","",,
"9613.80.40.00","4","Of precious metal (except silver), of precious or semiprecious stones or of such metal and such stones","[""No.""]","3.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","4","Other:","","","","",,
"9613.80.60.00","5","Valued not over $5 per dozen pieces","[""doz.""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9613.80.80.00","5","Valued over $5 per dozen pieces","[""doz.""]","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9613.90","1","Parts:","","","","","",""
"9613.90.40.00","2","Electrical","[""No.""]","3.9%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"9613.90.80.00","2","Other","[""No.""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9614.00","0","Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof:","","","","","",""
"","1","Pipes and pipe bowls:","","","","",,
"","2","Of wood or root:","","","","",,
"9614.00.21.00","3","Roughly shaped blocks of wood or root, for the manufacture of pipes","[""gross""]","Free","","10%","",""
"9614.00.25.00","3","Other","[""No""]","0.4¢ each + 3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5¢ each + 60%","",""
"9614.00.26.00","2","Pipes and bowls wholly of clay and pipes with bowls wholly of clay","[""No.""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9614.00.28","2","Other","","0.3¢ each + 3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5¢ each + 60%","",""
"9614.00.28.10","3","Of glass","[""No.""]","","","","",""
"9614.00.28.30","3","Of plastics","[""No.""]","","","","",""
"9614.00.28.90","3","Other","[""No.""]","","","","",""
"","1","Other:","","","","",,
"9614.00.94.00","2","Of metal","[""No.""]","7.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9614.00.98","2","Other","","0.5¢ each + 3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5¢ each + 60%","",""
"9614.00.98.10","3","Of glass","[""No.""]","","","","",""
"9614.00.98.90","3","Other","[""No.""]","","","","",""
"9615","0","Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof:","","","","","",""
"","1","Combs, hair-slides and the like:","","","","",,
"9615.11","2","Of hard rubber or plastics:","","","","","",""
"","3","Combs:","","","","",,
"9615.11.10.00","4","Valued not over $4.50 per gross","[""gross""]","14.4¢/gross + 2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.44/gross + 25%","",""
"","4","Valued over $4.50 per gross:","","","","",,
"9615.11.20.00","5","Of hard rubber","[""gross""]","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","36%","",""
"9615.11.30.00","5","Other","[""gross""]","28.8¢/gross + 4.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2.88/gross + 35%","",""
"","3","Other:","","","","",,
"9615.11.40.00","4","Not set with imitation pearls or imitation gemstones","[""No.""]","5.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"9615.11.50.00","4","Other","[""No.""]","Free","","110%","",""
"9615.19","2","Other:","","","","","",""
"","3","Combs:","","","","",,
"9615.19.20.00","4","Valued not over $4.50 per gross","[""gross""]","9.7¢/gross + 1.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.44/gross + 25%","",""
"9615.19.40.00","4","Valued over $4.50 per gross","[""gross""]","28.8¢/gross + 4.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2.88/gross + 35%","",""
"9615.19.60.00","3","Other","[""No.""]","11%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9615.90","1","Other:","","","","","",""
"9615.90.20.00","2","Nonthermic, nonornamental devices for curling the hair","[""No.""]","8.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9615.90.30.00","2","Hair pins","[""kg""]","5.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","2","Other:","","","","",,
"9615.90.40.00","3","Of rubber or plastics, not set with imitation pearls or imitation gemstones","[""No.""]","5.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"9615.90.60.00","3","Other","[""No.""]","11%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","110%","",""
"9616","0","Scent sprayers and similar toilet sprayers, and mounts and heads therefor; powder puffs and pads for the application of cosmetics or toilet preparations:","","","","","",""
"9616.10.00.00","1","Scent sprayers and similar toilet sprayers, and mounts and heads therefor","[""No.""]","Free","","40%","",""
"9616.20.00.00","1","Powder puffs and pads for the application of cosmetics or toilet preparations","[""kg""]","4.3%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","78.5%","",""
"9617.00","0","Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners:","","","","","",""
"","1","Vessels:","","","","",,
"9617.00.10.00","2","Having a capacity not exceeding 1 liter","[""No.""]","7.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55.5%","",""
"9617.00.30.00","2","Having a capacity exceeding 1 liter but not exceeding 2 liters","[""No.""]","6.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52%","",""
"9617.00.40.00","2","Having a capacity exceeding 2 liters","[""No.""]","6.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","51%","",""
"9617.00.60.00","1","Parts","[""No.""]","7.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"9618.00.00.00","0","Tailors' dummies and other mannequins; automatons and other animated displays used for shopwindow dressing","[""No.""]","4.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","56%","",""
"9619.00","0","Sanitary towels (pads) and tampons, diapers and diaper liners for babies and similar articles, of any material:","","","","","",""
"9619.00.05.00","1","Of plastics","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"9619.00.11.00","1","Of paper pulp","[""kg""]","Free","","30%","",""
"9619.00.15","1","Of paper, cellulose wadding or webs of cellulose fibers","","Free","","35%","",""
"9619.00.15.10","2","Sanitary napkins and tampons","[""kg""]","","","","",""
"9619.00.15.30","2","Diapers and diaper liners","[""kg""]","","","","",""
"9619.00.15.60","2","Other","[""kg""]","","","","",""
"","1","Of textile wadding:","","","","",,
"9619.00.21.00","2","Of cotton (369)","[""kg""]","3.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"9619.00.25.00","2","Other (669)","[""kg""]","6.3%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","74%","",""
"","1","Diapers of other textile materials:","","","","",,
"","2","Of cotton:","","","","",,
"9619.00.31.00","3","Of knitted or crocheted textile fabric (239)","[""doz."",""<u>kg<\/u>""]","8.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"9619.00.33.00","3","Other (239)","[""doz."",""<u>kg<\/u>""]","9.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"9619.00.41.00","2","Of synthetic fibers (239)","[""doz."",""<u>kg<\/u>""]","16%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"9619.00.43.00","2","Of artificial fibers (239)","[""doz."",""<u>kg<\/u>""]","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"","2","Of other textile fibers:","","","","",,
"9619.00.46.00","3","Of knitted or crocheted textile fabric (839)","[""doz."",""<u>kg<\/u>""]","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"9619.00.48.00","3","Other (839)","[""doz."",""<u>kg<\/u>""]","2.8%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"","1","Other, of textile materials:","","","","",,
"","2","Knitted or crocheted:","","","","",,
"9619.00.61.00","3","Of cotton","[""doz."",""<u>kg<\/u>""]","10.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"9619.00.64.00","3","Of man-made fibers","[""doz."",""<u>kg<\/u>""]","14.9%","Free (AU,BH,CL, CO,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"9619.00.68.00","3","Other","[""doz."",""<u>kg<\/u>""]","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"","2","Other:","","","","",,
"9619.00.71.00","3","Of cotton","[""doz."",""<u>kg<\/u>""]","8.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P,PA, PE,S,SG)","90%","",""
"9619.00.74.00","3","Of man-made fibers","[""doz."",""<u>kg<\/u>""]","16%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","76%","",""
"","3","Other:","","","","",,
"9619.00.78.00","4","Menʼs or boysʼ","[""doz."",""<u>kg<\/u>""]","2.8%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"9619.00.79.00","4","Womenʼs or girlsʼ","[""doz."",""<u>kg<\/u>""]","7.3%","Free (AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"9619.00.90.00","1","Other","[""No."",""kg""]","7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9620.00","0","Monopods, bipods, tripods and similar articles:","","","","","",""
"9620.00.10.00","1","Accessories suitable for use solely or principally with the apparatus of heading 8519 or 8521","[""No.""]","2%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"9620.00.15.00","1","Accessories for the articles of heading 9005","[""No.""]","The rate applicable to the article of which it is an accessory","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to the article of which it is an accessory","",""
"9620.00.20.00","1","Accessories for photographic (other than cinematographic) cameras of heading 9006","[""No.""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"9620.00.25.00","1","Accessories for cinematographic cameras of heading 9007","[""No.""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9620.00.30","1","Accessories for the instruments and appliances, including rangefinders, of heading 9015","","The rate applicable to the article of which it is an accessory","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to the article of which it is an accessory","",""
"9620.00.30.10","2","Of rangefinders","[""No.""]","","","","",""
"9620.00.30.20","2","Of theodolites and tachymeters","[""No.""]","","","","",""
"9620.00.30.30","2","Of levels","[""No.""]","","","","",""
"9620.00.30.40","2","Of photogrammetrical surveying instruments and apparatus","[""No.""]","","","","",""
"9620.00.30.50","2","Of seismographs","[""No.""]","","","","",""
"9620.00.30.60","2","Of other geophysical instruments and apparatus","[""No.""]","","","","",""
"9620.00.30.90","2","Other","[""No.""]","","","","",""
"","1","Other:","","","","",,
"9620.00.50.00","2","Of plastics","[""No.""]","5.3%","Free (A*,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"9620.00.55.00","2","Of wood","[""No.""]","3.3%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"9620.00.60.00","2","Of graphite or other carbon","[""No.""]","Free","","45%","",""
"9620.00.65.00","2","Of iron or steel","[""No.""]","2.9%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9620.00.70.00","2","Of aluminum","[""No.""]","2.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9701","0","Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand- painted or hand-decorated manufactured articles; collages and similar decorative plaques; all the foregoing framed or not framed:","","","","","",""
"9701.10.00.00","1","Paintings, drawings and pastels","[""No.""]","Free","","Free","",""
"9701.90.00.00","1","Other","[""No.""]","Free","","Free","",""
"9702.00.00.00","0","Original engravings, prints and lithographs, framed or not framed","[""No.""]","Free","","Free","",""
"9703.00.00.00","0","Original sculptures and statuary, in any material","[""No.""]","Free","","Free","",""
"9704.00.00.00","0","Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper) and the like, used or unused, other than those of heading 4907","[""No.""]","Free","","Free","",""
"9705.00.00","0","Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archeological, paleon- tological, ethnographic or numismatic interest","","Free","","Free","",""
"","1","Numismatic (collector's) coins, other than archaeological pieces:","","","","",,
"9705.00.00.01","2","Coins made prior to the 14th century and not known to be thedirect products of excavations, finds or archaeological sites","[""g""]","","","","",""
"","2","Other:","","","","",,
"","3","250 years or more in age:","","","","",,
"9705.00.00.10","4","Gold","[""g""]","","","","",""
"9705.00.00.40","4","Other","[""g""]","","","","",""
"","3","Other:","","","","",,
"9705.00.00.50","4","Gold","[""g""]","","","","",""
"9705.00.00.65","4","Other","[""g""]","","","","",""
"9705.00.00.79","1","Archaeological pieces of a kind described in statistical note 1 to this chapter","[""kg""]","","","","",""
"9705.00.00.80","1","Ethnographic pieces of a kind described in statistical note 1 to this chapter","[""kg""]","","","","",""
"9705.00.00.85","1","Other","[""kg""]","","","","",""
"9706.00.00","0","Antiques of an age exceeding one hundred years","","Free","","Free","",""
"9706.00.00.20","1","Silverware","[""kg""]","","","","",""
"9706.00.00.40","1","Furniture","[""kg""]","","","","",""
"9706.00.00.60","1","Other","[""kg""]","","","","",""
"9801.00.10","0","Products of the United States when returned after having been exported, or any other products when returned within 3 years after having been exported, without having been advanced in value or improved in condition by any process of manufacture or other means while abroad","[""""]","Free","","","",""
"9801.00.10.10","1","Articles previously exported with intent to reimport after temporary use abroad","[""kg""]","","","","",""
"9801.00.10.12","1","Articles returned temporarily for repair, alteration, processing or the like, the foregoing to be reexported","[""""]","","","","",""
"","1","Other:","","","","",,
"9801.00.10.15","2","Meat and poultry products provided for in chapter 2 or 16","[""kg""]","","","","",""
"9801.00.10.26","2","Peanuts provided for in heading 1202","[""kg""]","","","","",""
"9801.00.10.27","2","Articles provided for in chapter 28","[""kg""]","","","","",""
"9801.00.10.28","2","Articles provided for in chapter 30","[""kg""]","","","","",""
"9801.00.10.29","2","Articles provided for in chapter 37","[""m<sup>2<\/sup>""]","","","","",""
"9801.00.10.30","2","Articles provided for in chapter 71","","","","","",""
"9801.00.10.31","2","Articles provided for in chapter 82","","","","","",""
"","2","Articles provided for in chapter 84:","","","","",,
"9801.00.10.35","3","Articles provided for in headings 8407.10, 8409.10, 8411 or 8412.10","[""No. and kg""]","","","","",""
"9801.00.10.37","3","Articles provided for in headings 8419.31, 8424.41, 8424.49, 8424.82, 8424.90, 8429.11, 8429.19, 8431.42, 8432, 8433, 8434 or 8436","[""No.""]","","","","",""
